INSTITUICAO_ENSINO_ALUNO_2020;NOME;IDADE_ALUNO_2020;ANOS_PM_2020;FASE_TURMA_2020;PONTO_VIRADA_2020;INDE_2020;INDE_CONCEITO_2020;PEDRA_2020;DESTAQUE_IEG_2020;DESTAQUE_IDA_2020;DESTAQUE_IPV_2020;IAA_2020;IEG_2020;IPS_2020;IDA_2020;IPP_2020;IPV_2020;IAN_2020;FASE_2021;TURMA_2021;INSTITUICAO_ENSINO_ALUNO_2021;SINALIZADOR_INGRESSANTE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;REC_EQUIPE_1_2021;REC_EQUIPE_2_2021;REC_EQUIPE_3_2021;REC_EQUIPE_4_2021;PONTO_VIRADA_2021;IPV_2021;IAN_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021;FASE_2022;TURMA_2022;ANO_INGRESSO_2022;BOLSISTA_2022;INDE_2022;CG_2022;CF_2022;CT_2022;PEDRA_2022;DESTAQUE_IEG_2022;DESTAQUE_IDA_2022;DESTAQUE_IPV_2022;IAA_2022;IEG_2022;IPS_2022;IDA_2022;NOTA_PORT_2022;NOTA_MAT_2022;NOTA_ING_2022;QTD_AVAL_2022;IPP_2022;REC_AVA_1_2022;REC_AVA_2_2022;REC_AVA_3_2022;REC_AVA_4_2022;INDICADO_BOLSA_2022;PONTO_VIRADA_2022;IPV_2022;IAN_2022;NIVEL_IDEAL_2022;IdAluno;Total_Presente;Total_Falta;Total_Justificada;IDADE_ALUNO_2021;IDADE_ALUNO_2022;Sexo
Escola Pública;ALUNO-5;10;1;2M;Não;8.077085;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.50002;8.0;7.5;7.5;8.4375;8.166665;10.0;2.0;L;Escola Pública;Veterano;Ametista;7.399;7.4;7.5;7.5;5.4;8.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.4;10.0;Nível 2 (5o e 6o ano);0.0;2.0;L;2019.0;Não;7.232336307992202;415.0;61.0;12.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;6.41668;8.557504873294347;7.5;7.083333333333334;6.666666666666667;7.5;Sem Nota;3.0;6.458333333333334;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Sem Recomendacao;Não;Não;7.833336666666667;5.0;Fase 3 (7º e 8º ano);7;26.0;0.0;1.0;11;12;M
Rede Decisão/União;ALUNO-8;14;3;4L;Sim;8.381390666666666;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.33334;9.9;4.375;7.333333333333333;8.749999999999998;8.94445;10.0;5.0;L;Rede Decisão;Veterano;Topázio;8.269;8.8;8.6;7.5;7.1;8.0;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não;8.5;10.0;Nível 5 (1o EM);0.0;5.0;K;2017.0;Sim;7.289795442501942;397.0;26.0;6.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.16668;8.268065268065268;5.0;7.144444444444445;6.5;7.666666666666667;7.266666666666667;4.0;7.65625;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase;Não;Não;7.6250025;5.0;Fase 6 (2º EM);10;29.0;0.0;3.0;15;16;F
Escola Pública;ALUNO-11;8;0;0A;Sim;9.712504;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;10.0;8.125;10.0;10.0;10.00001;10.0;1.0;A;Rede Decisão;Veterano;Topázio;8.99;9.0;10.0;6.3;8.8;7.7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Sim;9.7;10.0;Nível 1 (4o ano);0.0;1.0;A;2020.0;Sim;8.464686539682539;40.0;5.0;1.0;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8.000020000000001;9.198412698412698;7.5;9.833333333333332;10.0;9.666666666666666;Sem Nota;3.0;7.083333333333332;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;Sem Recomendacao;Não;Sim;9.50001;5.0;Fase 2 (5º e 6º ano);13;26.0;0.0;1.0;9;10;M
Escola Pública;ALUNO-17;13;2;1G;Não;7.766252;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;6.8;7.5;10.0;6.5625;7.75;5.0;1.0;G;Escola Pública;Veterano;Ágata;6.14;9.5;4.2;7.5;2.6;8.4;Não avaliado;Mantido na Fase atual;Mantido na Fase + Bolsa;Não avaliado;Não;8.8;5.0;Nível 3 (7o e 8o ano);-2.0;1.0;G;2018.0;Não;6.723325934837093;580.0;142.0;6.0;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.50002;6.647869674185464;7.5;5.5;4.333333333333333;6.666666666666667;Sem Nota;2.0;5.9375;Mantido na Fase atual;Promovido de Fase;Sem Recomendacao;Sem Recomendacao;Não;Não;7.5;5.0;Fase 3 (7º e 8º ano);19;11.0;0.0;16.0;14;15;M
Escola Pública;ALUNO-18;14;3;3E;Não;7.2055576666666665;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.58335;7.0;7.5;6.5;7.083333333333334;7.944446666666665;5.0;4.0;F;Escola Pública;Veterano;Ágata;5.666;10.0;3.3;6.3;5.3;7.7;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;Não;5.2;5.0;Nível 5 (1o EM);-1.0;4.0;H;2017.0;Não;5.845721955648926;746.0;68.0;7.0;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;0.0;6.287640056022409;8.125;5.222222222222222;3.0;4.833333333333333;7.833333333333333;4.0;7.8125;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Sim;Não;7.2499975;5.0;Fase 6 (2º EM);20;26.0;0.0;1.0;15;16;M
Escola Pública;ALUNO-34;12;2;2C;Não;7.698890666666667;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;9.3;6.875;7.0;8.125;7.944443333333334;5.0;2.0;C;Escola Pública;Veterano;Ágata;6.129;6.9;2.9;7.5;5.5;7.7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.7;5.0;Nível 3 (7o e 8o ano);-1.0;3.0;C;2018.0;Não;6.666787745731961;599.0;78.0;4.0;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.5;7.056167617548691;7.5;6.111111111111111;5.0;7.5;5.833333333333333;4.0;7.5;Promovido de Fase;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não;Não;6.41666;5.0;Fase 4 (9º ano);36;41.0;0.0;52.0;13;14;F
Escola Pública;ALUNO-36;14;1;3C;Não;8.307780333333334;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.58335;9.9;7.5;8.0;8.749999999999998;8.222226666666668;5.0;3.0;C;Escola Pública;Veterano;Ágata;6.246;8.3;6.4;3.8;4.7;7.3;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.9;5.0;Nível 5 (1o EM);-2.0;4.0;B;2019.0;Não;6.854039584291188;538.0;46.0;8.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;5.83333;8.074712643678161;6.25;5.877777777777777;5.0;7.166666666666667;5.466666666666666;4.0;7.96875;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Sim;Não;7.7916675;5.0;Fase 6 (2º EM);38;32.0;0.0;25.0;15;16;F
Escola Pública;ALUNO-37;10;2;2N;Não;6.6788913333333335;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10.00002;7.7;4.375;2.5;6.458333333333333;7.77778;10.0;2.0;N;Escola Pública;Veterano;Ágata;6.154;0.0;5.4;6.9;6.5;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.7;10.0;Nível 2 (5o e 6o ano);0.0;2.0;L;2018.0;Não;7.55554175568551;292.0;45.0;8.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8.500020000000001;9.041585445094215;7.5;7.333333333333333;6.5;8.166666666666666;Sem Nota;3.0;6.25;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Sem Recomendacao;Não;Não;7.777779999999999;5.0;Fase 3 (7º e 8º ano);39;2.0;1.0;54.0;11;12;M
Escola Pública;ALUNO-46;8;0;0C;Não;6.966669;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.50002;10.0;7.5;0.0;7.5;7.583335;10.0;0.0;P;Escola Pública;Veterano;Topázio;8.471;8.5;10.0;7.5;6.9;8.1;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;Não;8.4;10.0;ALFA  (2o e 3o ano);0.0;1.0;K;2020.0;Não;7.398436561403509;362.0;94.0;7.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;9.082456140350876;7.5;5.0;3.666666666666667;6.333333333333333;Sem Nota;3.0;6.041666666666667;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Sem Recomendacao;Não;Não;6.888883333333333;10.0;Fase 1 (4º ano);48;9.0;0.0;18.0;9;10;F
Escola Pública;ALUNO-51;8;1;0D;Não;8.955835;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.50002;9.8;7.5;10.0;8.125;7.416665;10.0;1.0;F;Escola Pública;Ingressante;Ametista;8.051;9.0;9.2;7.5;5.4;7.7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.6;10.0;Nível 1 (4o ano);0.0;1.0;F;2019.0;Não;6.953190321839081;504.0;131.0;6.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;9.203448275862067;7.5;5.083333333333334;4.666666666666667;5.5;Sem Nota;2.0;5.625;Mantido na Fase atual;Promovido de Fase;Sem Recomendacao;Sem Recomendacao;Não;Não;6.91666;5.0;Fase 2 (5º e 6º ano);53;9.0;0.0;22.0;9;10;M
